Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return,Log_Return,MA_5,MA_10,MA_20,MA_50,Volatility_5d,Volatility_20d,Price_Momentum_5d,Price_Momentum_20d,Volume_MA_10,Volume_Ratio,High_20d,Low_20d,Price_Position,compound,pos,neg,neu,score,num_comments
2025-10-06,608.4500122070312,609.3599853515625,605.969970703125,607.7100219726562,41962100,0.0,0.0,0.0,0.0075102446232993,0.0074821831475984,604.047998046875,600.2769958496094,594.915673828125,580.0806677246094,0.0043833337151346,0.0046527296367586,0.0149984831173406,0.0510382737703658,51371930.0,0.8168293462986499,609.3599853515625,576.3718158469537,0.9499831787066652,0.6039,0.1292,0.054200000000000005,0.8168,99,96
2025-10-07,609.02001953125,609.7100219726562,603.030029296875,604.510009765625,58209500,0.0,0.0,0.0,-0.0052656893770549,-0.0052796019804864,604.8760009765625,600.9079956054687,596.149282836914,580.8212255859376,0.0057472839180388,0.0049644132628437,0.0068957720773994,0.0425501388780262,50729330.0,1.1474525683662686,609.7100219726562,577.8800531074673,0.8366315647666785,0.22278571428571428,0.06857142857142857,0.053285714285714283,0.8781428571428572,18,122
2025-10-08,605.4099731445312,611.75,605.260009765625,611.4400024414062,50629800,0.0,0.0,0.0,0.011463817908438,0.0113986062576875,606.5140014648438,602.4419982910156,597.7199035644531,581.7179626464844,0.007299465472144,0.0053639086439998,0.0135764648842209,0.0541567594483189,50807280.0,0.9965067998129402,611.75,580.9465131126315,0.9899362835211728,0.383325,0.08199999999999999,0.0255,0.8927499999999999,54,79
2025-10-09,611.47998046875,611.6099853515625,607.47998046875,610.7000122070312,45551000,0.0,0.0,0.0,-0.0012102417758411,-0.0012109747098303,607.5080078125,604.1589965820312,599.0847198486329,582.584716796875,0.0074329993460962,0.0053758469825352,0.0082050284756174,0.0467880582761746,48270360.0,0.9436639793032412,611.75,583.4236186389489,0.9629325122900276,0.13468571428571427,0.038,0.05614285714285715,0.9061428571428571,591,865
2025-10-10,611.4000244140625,613.1799926757812,589.0499877929688,589.5,97614800,0.0,0.0,0.0,-0.034714281616625,-0.0353311402402521,604.7720092773437,603.5119995117187,599.2606872558594,583.0876013183594,0.018189179111439,0.00983632693773,-0.022679785208218,0.0060059118562831,52598100.0,1.855861713636044,613.1799926757812,583.6933476484554,0.1969248229550513,0.22338571428571427,0.09257142857142857,0.052,0.8553571428571428,5050,797
2025-10-13,599.6799926757812,602.9500122070312,597.22998046875,602.010009765625,65872600,0.0,0.0,0.0,0.0212213906117473,0.0209993527108093,603.6320068359375,603.8400024414062,599.8114440917968,584.0630285644531,0.0212224706326096,0.0107572591164852,-0.0093794935099618,0.0186382948839496,54352070.0,1.2119612003737852,613.1799926757812,583.6933476484554,0.6211850178341818,0.5237333333333334,0.1667777777777778,0.04877777777777778,0.7844444444444444,62,143
2025-10-14,595.3099975585938,602.6900024414062,590.1300048828125,598.0,69203200,0.0,0.0,0.0,-0.0066610350335971,-0.0066833187376031,602.3300048828125,603.6030029296875,600.1866729736328,584.7540930175782,0.0212901302010789,0.0108870004555189,-0.0107690686017738,0.0127089514202902,56619010.0,1.2222608625618852,613.1799926757812,583.6933476484554,0.4851909173894262,0.56589,0.1026,0.044599999999999994,0.8532,139,337
2025-10-15,604.010009765625,606.7000122070312,595.9299926757812,602.219970703125,62805500,0.0,0.0,0.0,0.0070568071958612,0.007032024455004,600.4859985351562,603.5,600.8318298339843,585.6060668945313,0.0206768061771865,0.0109574786081861,-0.0150792092461513,0.0218950765931527,58209600.0,1.078954330557159,613.1799926757812,588.5,0.5559146991396217,0.36874999999999997,0.08750000000000001,0.06966666666666667,0.8428333333333334,195,209
2025-10-16,605.1099853515625,608.3099975585938,595.5,599.989990234375,70982000,0.0,0.0,0.0,-0.0037029334416565,-0.0037098062713596,598.343994140625,602.9260009765625,601.0997955322266,586.2726049804687,0.0206570814001855,0.010844855873702,-0.0175372879623023,0.0090128447433386,60931260.0,1.164952111609049,613.1799926757812,588.5,0.4655588996851791,0.79325,0.18800000000000003,0.011166666666666667,0.8008333333333333,1420,352
2025-10-17,597.9500122070312,605.510009765625,596.3699951171875,603.9299926757812,72024900,0.0,0.0,0.0,0.0065667802888964,0.0065453129169749,601.2299926757812,603.0010009765625,601.3634979248047,586.9795874023438,0.0109713910699092,0.0108387901586597,0.0244783590768129,0.0088098145473376,63485540.0,1.1345087401005016,613.1799926757812,588.5,0.6252024819651941,0.8140666666666667,0.10666666666666666,0.052111111111111115,0.8412222222222222,169,131
