Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return,Log_Return,MA_5,MA_10,MA_20,MA_50,Volatility_5d,Volatility_20d,Price_Momentum_5d,Price_Momentum_20d,Volume_MA_10,Volume_Ratio,High_20d,Low_20d,Price_Position,compound,pos,neg,neu,article_count
2023-11-03,360.320764352852,364.53890199557856,360.0935464381068,363.2448120117188,53280500,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-06,364.0153653887196,365.28970918171007,362.4545648116219,364.72662353515625,38848700,0.0,0.0,0.0,0.0040793742248677,0.0040710761375151,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-07,365.7737403444063,369.0435440645587,364.5685537968548,368.17425537109375,50777400,0.0,0.0,0.0,0.009452646484978,0.0094082497804792,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-08,368.5496001929726,369.25100022398175,366.11948091593234,368.4113159179688,35663400,0.0,0.0,0.0,0.0006438813779525,0.0006436741752759,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-09,369.1028278733884,370.24871522784247,365.08224347680544,365.576171875,53859400,0.0,0.0,0.0,-0.0076955943546533,-0.0077253582397438,366.0266357421875,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-10,367.3048793338948,373.943277453611,366.771428283589,373.7951049804688,58309800,0.0,0.0,0.0,0.0224821357018831,0.0222331375859943,368.1366943359375,,,,0.0112173122349917,,0.0290445799083005,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-13,372.2145725921907,373.6864695790459,370.6833764620218,372.6294555664063,40733500,0.0,0.0,0.0,-0.0031184180812732,-0.0031232904790235,369.7172607421875,,,,0.0119312638744317,,0.0216678232991351,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-14,379.0505251923684,381.5695781265845,378.5269622929975,380.6508483886719,67792600,0.0,0.0,0.0,0.021526459334979,0.021298037372754,372.2125793457032,,,,0.0142231135423837,,0.0338877388507314,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-15,382.5475588746625,383.041487291544,379.57410015799695,380.9373474121094,54141400,0.0,0.0,0.0,0.0007526556807906,0.0007523725775476,374.71778564453126,,,,0.0142114836857552,,0.0340001269041629,,,,,,,0.0,0.0,0.0,0.0,0.0
2023-11-16,380.16682990955,381.5004426982828,378.9023743362105,381.2633666992188,45343500,0.0,0.0,0.0,0.000855834402492,0.0008554683850484,377.855224609375,371.94093017578126,,,0.0124361470282212,,0.0429108788566849,,49875020.0,0.909142492574439,,,,0.0,0.0,0.0,0.0,0.0
2023-11-17,380.5323263416612,382.3697557474845,379.6235149277258,381.3522644042969,46571900,0.0,0.0,0.0,0.0002331661335515,0.0002331389545533,379.3666564941406,373.7516754150391,,,0.0099052541971999,,0.020217384666455,,49204160.0,0.946503303785696,,,,0.0,0.0,0.0,0.0,0.0
2023-11-20,381.3621271567814,386.6570555807807,381.3621271567814,385.99517822265625,44429600,0.0,0.0,0.0,0.0121748688856273,0.0121013512794073,382.0398010253906,375.878530883789,,,0.0094908962285293,,0.0358686691473,,49762250.0,0.8928374420368854,,,,0.0,0.0,0.0,0.0,0.0
2023-11-21,384.2862282750415,384.5035580022915,382.00428121241606,383.7527770996094,43337000,0.0,0.0,0.0,-0.0058094019033403,-0.005826342118785,382.6601867675781,377.43638305664064,,,0.0065164890500903,,0.0081490129972603,,49018210.0,0.8841000109959135,,,,0.0,0.0,0.0,0.0,0.0
2023-11-22,385.8272724711062,388.2969146942405,384.315852636428,385.3234558105469,44121000,0.0,0.0,0.0,0.0040929442199966,0.0040845909091355,383.5374084472657,379.1275970458984,,,0.0065735654451026,,0.0115139889229407,,49863970.0,0.8848272610464029,,,,0.0,0.0,0.0,0.0,0.0
2023-11-24,384.9183745998721,385.5110946761788,383.7823453726982,384.7800903320313,15718800,0.0,0.0,0.0,-0.001410154171312,-0.0014111493744087,384.2407531738281,381.0479888916016,,,0.0067738968342762,,0.009223869744577,,46049910.0,0.3413426866632312,,,,0.0,0.0,0.0,0.0,0.0
