Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Daily_Return,Log_Return,MA_5,MA_10,MA_20,MA_50,Volatility_5d,Volatility_20d,Price_Momentum_5d,Price_Momentum_20d,Volume_MA_10,Volume_Ratio,High_20d,Low_20d,Price_Position
2023-11-03 00:00:00-04:00,360.32076435285194,364.53890199557856,360.0935464381068,363.24481201171875,53280500,0.0,0.0,0.0,,,,,,,,,,,,,,,
2023-11-06 00:00:00-05:00,364.0153653887196,365.28970918171007,362.4545648116219,364.72662353515625,38848700,0.0,0.0,0.0,0.0040793742248677045,0.004071076137515151,,,,,,,,,,,,,
2023-11-07 00:00:00-05:00,365.7737403444063,369.0435440645587,364.5685537968548,368.17425537109375,50777400,0.0,0.0,0.0,0.009452646484978011,0.009408249780479295,,,,,,,,,,,,,
2023-11-08 00:00:00-05:00,368.5496001929726,369.25100022398175,366.11948091593234,368.41131591796875,35663400,0.0,0.0,0.0,0.0006438813779525709,0.000643674175275993,,,,,,,,,,,,,
2023-11-09 00:00:00-05:00,369.1028278733884,370.24871522784247,365.08224347680544,365.576171875,53859400,0.0,0.0,0.0,-0.00769559435465339,-0.0077253582397438314,366.0266357421875,,,,,,,,,,,,
2023-11-10 00:00:00-05:00,367.30487933389475,373.943277453611,366.771428283589,373.79510498046875,58309800,0.0,0.0,0.0,0.022482135701883177,0.02223313758599436,368.1366943359375,,,,0.011217312234991715,,0.02904457990830056,,,,,,
2023-11-13 00:00:00-05:00,372.2145725921907,373.6864695790459,370.6833764620218,372.62945556640625,40733500,0.0,0.0,0.0,-0.003118418081273222,-0.0031232904790235655,369.7172607421875,,,,0.011931263874431771,,0.02166782329913519,,,,,,
2023-11-14 00:00:00-05:00,379.05052519236835,381.5695781265845,378.5269622929975,380.6508483886719,67792600,0.0,0.0,0.0,0.021526459334979098,0.02129803737275403,372.21257934570315,,,,0.0142231135423837,,0.033887738850731486,,,,,,
2023-11-15 00:00:00-05:00,382.5475588746625,383.04148729154394,379.57410015799695,380.9373474121094,54141400,0.0,0.0,0.0,0.000752655680790637,0.0007523725775476604,374.71778564453126,,,,0.01421148368575524,,0.034000126904162986,,,,,,
2023-11-16 00:00:00-05:00,380.16682990955,381.50044269828277,378.9023743362105,381.26336669921875,45343500,0.0,0.0,0.0,0.0008558344024920395,0.0008554683850484547,377.855224609375,371.94093017578126,,,0.012436147028221295,,0.042910878856684986,,49875020.0,0.909142492574439,,,
2023-11-17 00:00:00-05:00,380.5323263416612,382.3697557474845,379.6235149277258,381.3522644042969,46571900,0.0,0.0,0.0,0.00023316613355151006,0.00023313895455332492,379.3666564941406,373.7516754150391,,,0.009905254197199986,,0.020217384666455063,,49204160.0,0.9465033037856961,,,
